duration,duration_seconds,start_time,start_station,start_terminal,end_time,end_station,end_terminal,bike_number,rider_type,id
0h 5m 49sec.,349.0,2012-01-04 18:30:00,Massachusetts Ave & Dupont Circle NW,31200.0,2012-01-04 18:36:00,17th & K St NW [formerly 17th & L St NW],31213.0,W01160,Registered,8221
0h 19m 17sec.,1157.0,2012-01-04 18:30:00,19th St & Pennsylvania Ave NW,31100.0,2012-01-04 18:49:00,Eastern Market / 7th & North Carolina Ave SE,31610.0,W01095,Registered,8222
0h 9m 10sec.,550.0,2012-01-04 18:31:00,Benning Branch Library,31705.0,2012-01-04 18:40:00,Benning Rd & East Capitol St NE / Benning Rd Metro,31707.0,W00327,Registered,8223
0h 9m 16sec.,556.0,2012-01-04 18:31:00,Connecticut Ave & Newark St NW / Cleveland Park,31305.0,2012-01-04 18:40:00,Wisconsin Ave & Macomb St NW,31302.0,W01465,Registered,8224
0h 26m 44sec.,1604.0,2012-01-04 18:32:00,N Rhodes & 16th St N,31018.0,2012-01-04 18:58:00,16th & Harvard St NW,31103.0,W01200,Registered,8225
0h 7m 5sec.,425.0,2012-01-04 18:32:00,11th & H St NE,31614.0,2012-01-04 18:39:00,"Lincoln Park / 13th & East Capitol St NE ",31619.0,W00366,Registered,8226
0h 11m 26sec.,686.0,2012-01-04 18:32:00,US Dept of State / Virginia Ave & 21st St NW,31220.0,2012-01-04 18:43:00,Massachusetts Ave & Dupont Circle NW,31200.0,W00961,Registered,8227
0h 5m 29sec.,329.0,2012-01-04 18:32:00,25th St & Pennsylvania Ave NW,31237.0,2012-01-04 18:37:00,21st & M St NW,31212.0,W01452,Registered,8228
0h 4m 32sec.,272.0,2012-01-04 18:32:00,Potomac & Pennsylvania Ave SE,31606.0,2012-01-04 18:37:00,Eastern Market / 7th & North Carolina Ave SE,31610.0,W00291,Registered,8229
0h 10m 13sec.,613.0,2012-01-04 18:32:00,21st & I St NW,31205.0,2012-01-04 18:43:00,16th & U St NW,31229.0,W00804,Registered,8230
0h 11m 25sec.,685.0,2012-01-04 18:32:00,4th & M St SW,31108.0,2012-01-04 18:44:00,Eastern Market / 7th & North Carolina Ave SE,31610.0,W00698,Registered,8231
